id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_il_6m,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m
60377013,64353795,35000.0,35000.0,35000.0, 60 months,15.61,843.9,D,D1,IT,10+ years,MORTGAGE,140000.0,Source Verified,Sep-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=60377013,,debt_consolidation,Debt consolidation,207xx,MD,27.22,3.0,May-1995,0.0,6.0,,18.0,0.0,40223.0,70.6,46.0,w,33414.97,33414.97,3314.89,3314.89,1585.03,1729.86,0.0,0.0,0.0,Jan-2016,843.9,Feb-2016,Jan-2016,0.0,16.0,1.0,INDIVIDUAL,,,,0.0,0.0,420957.0,,,,,,,,,,,,57000.0,,,
11396627,13318825,10000.0,10000.0,9900.0, 36 months,9.67,321.13,B,B1,Teacher,3 years,RENT,73000.0,Not Verified,Feb-2014,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=11396627,"  Borrower added on 02/01/14 > My loan will pay off all of my high interest credit cards.  My goal was to pay them all off, and this way I will able to pay them with a lower interest rate, thereby paying off my debt much more quickly.<br>",credit_card,Credit card refinancing,921xx,CA,14.55,1.0,Apr-1993,2.0,11.0,,15.0,0.0,12248.0,46.9,30.0,f,0.0,0.0,10654.1393169,10547.6,10000.0,654.14,0.0,0.0,0.0,Nov-2014,8085.1,,Jan-2016,0.0,11.0,1.0,INDIVIDUAL,,,,0.0,129.0,150195.0,,,,,,,,,,,,26100.0,,,
52536428,56026151,16000.0,16000.0,16000.0, 60 months,12.69,361.52,C,C2,Contact Center Supervisor,10+ years,MORTGAGE,60000.0,Source Verified,Jun-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=52536428,,debt_consolidation,Debt consolidation,606xx,IL,22.02,0.0,Feb-2007,1.0,,,15.0,0.0,7450.0,25.0,18.0,w,14815.14,14815.14,2225.52,2225.52,1184.86,1040.66,0.0,0.0,0.0,Jan-2016,361.52,Feb-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,217131.0,,,,,,,,,,,,29800.0,,,
64180480,68650208,35000.0,35000.0,34800.0, 36 months,18.2,1268.85,E,E1,Director of Business Development,2 years,MORTGAGE,150000.0,Source Verified,Nov-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=64180480,,debt_consolidation,Debt consolidation,662xx,KS,18.87,0.0,Dec-2002,2.0,32.0,,12.0,0.0,211380.0,80.6,39.0,f,33512.78,33321.28,2643.86,2628.75,1487.22,1156.64,0.0,0.0,0.0,Jan-2016,1268.85,Feb-2016,Jan-2016,0.0,51.0,1.0,INDIVIDUAL,,,,0.0,0.0,551804.0,,,,,,,,,,,,232300.0,,,
56360354,60032074,3300.0,3300.0,3300.0, 36 months,18.55,120.22,E,E2,forklift operator,10+ years,RENT,46000.0,Source Verified,Aug-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=56360354,,other,Other,403xx,KY,13.28,0.0,Apr-2001,1.0,,66.0,9.0,1.0,7430.0,42.9,32.0,w,2943.1,2943.1,597.7,597.7,356.9,240.8,0.0,0.0,0.0,Jan-2016,120.22,Feb-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,14196.0,,,,,,,,,,,,17300.0,,,
56010150,59671925,10000.0,10000.0,10000.0, 60 months,13.99,232.64,C,C4,Application Specialist,1 year,OWN,72500.0,Source Verified,Aug-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=56010150,,debt_consolidation,Debt consolidation,282xx,NC,18.54,0.0,May-2000,0.0,,49.0,23.0,1.0,7138.0,19.5,38.0,w,9406.03,9406.03,1155.43,1155.43,593.97,561.46,0.0,0.0,0.0,Jan-2016,232.64,Feb-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,388864.0,,,,,,,,,,,,36600.0,,,
41099663,43975410,25000.0,25000.0,25000.0, 60 months,11.53,550.2,B,B5,Sales,8 years,MORTGAGE,70000.0,Source Verified,Mar-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=41099663,,other,Other,176xx,PA,28.12,1.0,Sep-1991,0.0,13.0,,13.0,0.0,9755.0,29.7,36.0,f,21762.56,21762.56,5485.98,5485.98,3237.44,2248.54,0.0,0.0,0.0,Jan-2016,550.2,Feb-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,1000.0,60010.0,,,,,,,,,,,,32800.0,,,
26399539,28872369,30000.0,30000.0,30000.0, 36 months,11.67,991.71,B,B4,Executive Administrator,< 1 year,RENT,75000.0,Verified,Sep-2014,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=26399539,,credit_card,Credit card refinancing,803xx,CO,11.16,0.0,Oct-2000,0.0,,,7.0,0.0,26505.0,50.2,12.0,f,17147.71,17147.71,16630.4,16630.4,12852.29,3778.11,0.0,0.0,0.0,Jan-2016,991.71,Feb-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,38295.0,,,,,,,,,,,,52800.0,,,
4286642,5478964,3100.0,3100.0,3100.0, 36 months,15.31,107.94,C,C2,nestle purina,6 years,OWN,65000.0,Not Verified,Apr-2013,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=4286642,,debt_consolidation,Debt consolidation,140xx,NY,19.68,0.0,Sep-2005,1.0,,,8.0,0.0,13321.0,82.7,18.0,w,0.0,0.0,3288.92,3288.92,3100.0,188.92,0.0,0.0,0.0,Sep-2013,2857.16,,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,47764.0,,,,,,,,,,,,16100.0,,,
62336123,66532859,35000.0,35000.0,34950.0, 60 months,12.69,790.82,C,C2,Client Education,< 1 year,MORTGAGE,95000.0,Source Verified,Oct-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=62336123,,debt_consolidation,Debt consolidation,270xx,NC,24.72,0.0,Jun-1993,0.0,,,28.0,0.0,40130.0,46.3,48.0,f,34154.16,34105.37,1556.96,1554.74,845.84,711.12,0.0,0.0,0.0,Dec-2015,790.82,Jan-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,222518.0,,,,,,,,,,,,86700.0,,,
